2025-06-09 10:00:50,938 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:00:50,938 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 14:15:11,517 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:15:11,517 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:15:21,655 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:15:21,656 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:15:32,551 - ERROR - Error sending POST for camera 2, pair (10000146, 10000164): HTTPConnectionPool(host='192.168.1.168', port=7000): Max retries exceeded with url: /ics/taskOrder/addTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000021F302A2290>, 'Connection to 192.168.1.168 timed out. (connect timeout=None)'))
2025-06-09 14:15:32,712 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:15:32,712 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:15:42,704 - ERROR - Error sending POST for camera 2, pair (10000234, 10000164): HTTPConnectionPool(host='192.168.1.168', port=7000): Max retries exceeded with url: /ics/taskOrder/addTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000021F2A723BD0>, 'Connection to 192.168.1.168 timed out. (connect timeout=None)'))
2025-06-09 14:15:42,872 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:15:42,872 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:16:24,919 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:16:24,919 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:16:35,082 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:16:35,082 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:16:45,253 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:16:45,253 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:16:55,405 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:16:55,405 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:17:05,551 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:17:05,551 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:17:15,686 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:17:15,686 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:17:25,820 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:17:25,820 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:17:35,955 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:17:35,955 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:17:46,095 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:17:46,095 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:17:56,250 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:17:56,250 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:18:06,410 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:18:06,411 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:18:16,554 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:18:16,554 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:18:26,698 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:18:26,698 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:18:36,838 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:18:36,838 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:18:46,992 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:18:46,992 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:18:57,159 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:18:57,159 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:19:07,624 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:19:07,624 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
