2025-06-10 10:51:11,413 - INFO - PairManager initialized with available pairs
2025-06-10 10:51:11,414 - INFO - Starting pair monitoring
2025-06-10 10:51:11,414 - INFO - Timer started for camera 0, pair (10000162, 10000170)
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000160, 10000170): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000160, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000160, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000160, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000161, 10000170): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000161, 10000171): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000161, 10000140): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000161, 10000141): start=False, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000162, 10000170): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,415 - DEBUG - Checking pair (0, 10000162, 10000171): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,416 - DEBUG - Checking pair (0, 10000162, 10000140): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,416 - DEBUG - Checking pair (0, 10000162, 10000141): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
2025-06-10 10:51:11,416 - DEBUG - Checking pair (0, 10000163, 10000170): start=True, end=False, end_camera=2, post_sent=False, timer=0.00s, active_end_paths={}, active_start_paths={}, retry_counts={}
